Username,Review,Media,Rating,Date
galih,"Bsa dipake unisex, wanginya lebih strong, tp charming, hint rempah-rempah nya lumayan kenceng, tp ga bikin mual.",https://assets.tokopedia.net/assets-tokopedia-lite/v2/zeus/kratos/85cc883d.svg,5,4 bulan lalu
Citra,"the real blind buy yang sukses. wanginya bener2 sesuai selera, cocok banget dipakai pas malam hari. dapat decant samosir dan wanginya sama enaknya, next mau coba beli sam...",https://assets.tokopedia.net/assets-tokopedia-lite/v2/zeus/kratos/85cc883d.svg,5,2 bulan lalu
M***d,packaging nya keren banget berasa mewahnya. Untuk wanginya preference sih karena udah beli yang explore kit jadi tau mana yang cocok.. terima kasih,https://assets.tokopedia.net/assets-tokopedia-lite/v2/zeus/kratos/85cc883d.svg,5,Lebih dari 1 tahun lalu
Zen,"blind buy this item, enak wanginya cuma bukan tipe gue, anyway pengiriman cukup lama 2 hari baru sampai, thanks project 1945",https://assets.tokopedia.net/assets-tokopedia-lite/v2/zeus/kratos/85cc883d.svg,5,Lebih dari 1 tahun lalu
S***y,Kurang dari 2 bulan udah punya full bottle parfume project 1945.. Apresiasi & Sunset In Sumba sejauh ini yang paling saya suka..,https://assets.tokopedia.net/assets-tokopedia-lite/v2/zeus/kratos/85cc883d.svg,5,Lebih dari 1 tahun lalu
R***i,"Wangi nya segar,citrus nya agak kencang..memang cocok dipakai untuk negara tropis",https://assets.tokopedia.net/assets-tokopedia-lite/v2/zeus/kratos/85cc883d.svg,5,Lebih dari 1 tahun lalu
indro,"wanginya mewah, lembut, dus packing rapi dan aman, barang cepat sampai.",https://assets.tokopedia.net/assets-tokopedia-lite/v2/zeus/kratos/85cc883d.svg,5,5 bulan lalu
v***d,"baunya kayak cowok mahal, cuman untuk tahannya kureng rajin2 spray aja. bintang 5 lah untuk harga dan wanginya cocok",https://assets.tokopedia.net/assets-tokopedia-lite/v2/zeus/kratos/85cc883d.svg,5,10 bulan lalu
A***a,"Mantep! Jauh lebih cocok ini dibandingkan versi 1.0, lebih ganteng",https://assets.tokopedia.net/assets-tokopedia-lite/v2/zeus/kratos/85cc883d.svg,5,4 bulan lalu
K***n,"aromanya mirip parfum apa ya ini, lupa.. tapi enak mantab.. untuk ketahanannya aja yg kurang.. untuk harganya yg murah dan dapet 100ml, sangat direkomendasikan.. ditunggu...",https://assets.tokopedia.net/assets-tokopedia-lite/v2/zeus/kratos/85cc883d.svg,5,Lebih dari 1 tahun lalu
A***h,ini wanginya enak bgt dan kalian harus beli. bagi para cowok ini wangi yg bikin cewek2 pada nyaman deket2,https://assets.tokopedia.net/assets-tokopedia-lite/v2/zeus/kratos/85cc883d.svg,5,6 bulan lalu
Gusda,ada aroma musky tipis2 jd nagih sniff mulu...packing rapi&aman...tiba sesuai jadwal...good job👍👍,https://assets.tokopedia.net/assets-tokopedia-lite/v2/zeus/kratos/85cc883d.svg,5,1 bulan lalu
S***i,"barang sesuai, pengiriman cepat 2 hari langsung sampai, packaging sangat² aman, mantep pokokonya....",https://assets.tokopedia.net/assets-tokopedia-lite/v2/zeus/kratos/85cc883d.svg,5,Lebih dari 1 tahun lalu
RSH,restock lagi dapat free vial princess of Java...jadi nggak sabar nunggu full bottlenya,https://assets.tokopedia.net/assets-tokopedia-lite/v2/zeus/kratos/85cc883d.svg,5,Lebih dari 1 tahun lalu
I***b,"Dupe/clonenya HUGO BOSS ORANGE for Men Kemiripan 85%, hanya kurang di base notenya aja yang kurang mantep/padat dikit lagi.  L= 5-6 jam-an di baju, di kulit 3-4 jam",https://assets.tokopedia.net/assets-tokopedia-lite/v2/zeus/kratos/85cc883d.svg,5,Lebih dari 1 tahun lalu
Ketty,Harumnya alami n enak n terasa segar . Sangat suka bgt.,https://assets.tokopedia.net/assets-tokopedia-lite/v2/zeus/kratos/85cc883d.svg,5,Lebih dari 1 tahun lalu
Reza,"sebelumnya udah coba vialnya, paling cocok yg si sunset sumba ini. wanginya unik, istri suka juga. good job project 1945.",https://assets.tokopedia.net/assets-tokopedia-lite/v2/zeus/kratos/85cc883d.svg,5,Lebih dari 1 tahun lalu
M***n,Botol full size ketiga untuk seri 'Sunset in Sumba'. So fresh and refreshing.,https://assets.tokopedia.net/assets-tokopedia-lite/v2/zeus/kratos/85cc883d.svg,5,Lebih dari 1 tahun lalu
Divan,"barang sampai dengan baik, untuk baunya seger ke manis diawal, trus ke manis rempah gitu, makin lama makin wangi rempah, enak banget buat malem",https://assets.tokopedia.net/assets-tokopedia-lite/v2/zeus/kratos/85cc883d.svg,5,6 bulan lalu
rizal,"quality jelas oke banget, wanginya sesuai ekspetasi, tinggal durability nya belum di test",https://assets.tokopedia.net/assets-tokopedia-lite/v2/zeus/kratos/85cc883d.svg,5,5 bulan lalu
